,host_processors_per_node,host_processor_model_name,host_processor_core_count,host_memory_capacity,host_storage_type,accelerators_per_node,accelerator_model_name,accelerator_memory_configuration,accelerator_memory_capacity,accelerator_interconnect,framework,operating_system,training_ms
0,2,AMD EPYC 9374F 32-Core Processor,32,2.3 TB,NVMe SSD,8,NVIDIA H100-PCIe-80GB,HBM2e,80 GB,PCIe 5.0,"NVIDIA Release 24.04 MxNet, pytorch, dgl and 23.09 pytorch",Ubuntu 20.04.6 LTS,758624.0
0,2,AMD EPYC 9374F 32-Core Processor,32,2.3 TB,NVMe SSD,8,NVIDIA H100-PCIe-80GB,HBM2e,80 GB,PCIe 5.0,"NVIDIA Release 24.04 MxNet, pytorch, dgl and 23.09 pytorch",Ubuntu 20.04.6 LTS,912974.0
0,2,AMD EPYC 9374F 32-Core Processor,32,2.3 TB,NVMe SSD,8,NVIDIA H100-PCIe-80GB,HBM2e,80 GB,PCIe 5.0,"NVIDIA Release 24.04 MxNet, pytorch, dgl and 23.09 pytorch",Ubuntu 20.04.6 LTS,961105.0
0,2,AMD EPYC 9374F 32-Core Processor,32,2.3 TB,NVMe SSD,8,NVIDIA H100-PCIe-80GB,HBM2e,80 GB,PCIe 5.0,"NVIDIA Release 24.04 MxNet, pytorch, dgl and 23.09 pytorch",Ubuntu 20.04.6 LTS,1414382.0
0,2,AMD EPYC 9374F 32-Core Processor,32,2.3 TB,NVMe SSD,8,NVIDIA H100-PCIe-80GB,HBM2e,80 GB,PCIe 5.0,"NVIDIA Release 24.04 MxNet, pytorch, dgl and 23.09 pytorch",Ubuntu 20.04.6 LTS,1186956.0
0,2,AMD EPYC 9374F 32-Core Processor,32,2.3 TB,NVMe SSD,8,NVIDIA H100-PCIe-80GB,HBM2e,80 GB,PCIe 5.0,"NVIDIA Release 24.04 MxNet, pytorch, dgl and 23.09 pytorch",Ubuntu 20.04.6 LTS,1091638.0
0,2,AMD EPYC 9374F 32-Core Processor,32,2.3 TB,NVMe SSD,8,NVIDIA H100-PCIe-80GB,HBM2e,80 GB,PCIe 5.0,"NVIDIA Release 24.04 MxNet, pytorch, dgl and 23.09 pytorch",Ubuntu 20.04.6 LTS,842606.0
0,2,AMD EPYC 9374F 32-Core Processor,32,2.3 TB,NVMe SSD,8,NVIDIA H100-PCIe-80GB,HBM2e,80 GB,PCIe 5.0,"NVIDIA Release 24.04 MxNet, pytorch, dgl and 23.09 pytorch",Ubuntu 20.04.6 LTS,782694.0
0,2,AMD EPYC 9374F 32-Core Processor,32,2.3 TB,NVMe SSD,8,NVIDIA H100-PCIe-80GB,HBM2e,80 GB,PCIe 5.0,"NVIDIA Release 24.04 MxNet, pytorch, dgl and 23.09 pytorch",Ubuntu 20.04.6 LTS,1020211.0
0,2,AMD EPYC 9374F 32-Core Processor,32,2.3 TB,NVMe SSD,8,NVIDIA H100-PCIe-80GB,HBM2e,80 GB,PCIe 5.0,"NVIDIA Release 24.04 MxNet, pytorch, dgl and 23.09 pytorch",Ubuntu 20.04.6 LTS,2170599.0
0,2,AMD EPYC 9374F 32-Core Processor,32,2.3 TB,NVMe SSD,8,NVIDIA H100-PCIe-80GB,HBM2e,80 GB,PCIe 5.0,"NVIDIA Release 24.04 MxNet, pytorch, dgl and 23.09 pytorch",Ubuntu 20.04.6 LTS,1364674.0
0,2,AMD EPYC 9374F 32-Core Processor,32,2.3 TB,NVMe SSD,8,NVIDIA H100-PCIe-80GB,HBM2e,80 GB,PCIe 5.0,"NVIDIA Release 24.04 MxNet, pytorch, dgl and 23.09 pytorch",Ubuntu 20.04.6 LTS,1080626.0
0,2,AMD EPYC 9374F 32-Core Processor,32,2.3 TB,NVMe SSD,8,NVIDIA H100-PCIe-80GB,HBM2e,80 GB,PCIe 5.0,"NVIDIA Release 24.04 MxNet, pytorch, dgl and 23.09 pytorch",Ubuntu 20.04.6 LTS,1317112.0
0,2,AMD EPYC 9374F 32-Core Processor,32,2.3 TB,NVMe SSD,8,NVIDIA H100-PCIe-80GB,HBM2e,80 GB,PCIe 5.0,"NVIDIA Release 24.04 MxNet, pytorch, dgl and 23.09 pytorch",Ubuntu 20.04.6 LTS,889482.0
0,2,AMD EPYC 9374F 32-Core Processor,32,2.3 TB,NVMe SSD,8,NVIDIA H100-PCIe-80GB,HBM2e,80 GB,PCIe 5.0,"NVIDIA Release 24.04 MxNet, pytorch, dgl and 23.09 pytorch",Ubuntu 20.04.6 LTS,1139451.0
0,2,AMD EPYC 9374F 32-Core Processor,32,2.3 TB,NVMe SSD,8,NVIDIA H100-PCIe-80GB,HBM2e,80 GB,PCIe 5.0,"NVIDIA Release 24.04 MxNet, pytorch, dgl and 23.09 pytorch",Ubuntu 20.04.6 LTS,1021390.0
0,2,AMD EPYC 9374F 32-Core Processor,32,2.3 TB,NVMe SSD,8,NVIDIA H100-PCIe-80GB,HBM2e,80 GB,PCIe 5.0,"NVIDIA Release 24.04 MxNet, pytorch, dgl and 23.09 pytorch",Ubuntu 20.04.6 LTS,866714.0
0,2,AMD EPYC 9374F 32-Core Processor,32,2.3 TB,NVMe SSD,8,NVIDIA H100-PCIe-80GB,HBM2e,80 GB,PCIe 5.0,"NVIDIA Release 24.04 MxNet, pytorch, dgl and 23.09 pytorch",Ubuntu 20.04.6 LTS,1662245.0
0,2,AMD EPYC 9374F 32-Core Processor,32,2.3 TB,NVMe SSD,8,NVIDIA H100-PCIe-80GB,HBM2e,80 GB,PCIe 5.0,"NVIDIA Release 24.04 MxNet, pytorch, dgl and 23.09 pytorch",Ubuntu 20.04.6 LTS,915823.0
0,2,AMD EPYC 9374F 32-Core Processor,32,2.3 TB,NVMe SSD,8,NVIDIA H100-PCIe-80GB,HBM2e,80 GB,PCIe 5.0,"NVIDIA Release 24.04 MxNet, pytorch, dgl and 23.09 pytorch",Ubuntu 20.04.6 LTS,1116342.0
0,2,AMD EPYC 9374F 32-Core Processor,32,2.3 TB,NVMe SSD,8,NVIDIA H100-PCIe-80GB,HBM2e,80 GB,PCIe 5.0,"NVIDIA Release 24.04 MxNet, pytorch, dgl and 23.09 pytorch",Ubuntu 20.04.6 LTS,1340792.0
0,2,AMD EPYC 9374F 32-Core Processor,32,2.3 TB,NVMe SSD,8,NVIDIA H100-PCIe-80GB,HBM2e,80 GB,PCIe 5.0,"NVIDIA Release 24.04 MxNet, pytorch, dgl and 23.09 pytorch",Ubuntu 20.04.6 LTS,1151338.0
0,2,AMD EPYC 9374F 32-Core Processor,32,2.3 TB,NVMe SSD,8,NVIDIA H100-PCIe-80GB,HBM2e,80 GB,PCIe 5.0,"NVIDIA Release 24.04 MxNet, pytorch, dgl and 23.09 pytorch",Ubuntu 20.04.6 LTS,2091304.0
0,2,AMD EPYC 9374F 32-Core Processor,32,2.3 TB,NVMe SSD,8,NVIDIA H100-PCIe-80GB,HBM2e,80 GB,PCIe 5.0,"NVIDIA Release 24.04 MxNet, pytorch, dgl and 23.09 pytorch",Ubuntu 20.04.6 LTS,1401662.0
0,2,AMD EPYC 9374F 32-Core Processor,32,2.3 TB,NVMe SSD,8,NVIDIA H100-PCIe-80GB,HBM2e,80 GB,PCIe 5.0,"NVIDIA Release 24.04 MxNet, pytorch, dgl and 23.09 pytorch",Ubuntu 20.04.6 LTS,1175236.0
0,2,AMD EPYC 9374F 32-Core Processor,32,2.3 TB,NVMe SSD,8,NVIDIA H100-PCIe-80GB,HBM2e,80 GB,PCIe 5.0,"NVIDIA Release 24.04 MxNet, pytorch, dgl and 23.09 pytorch",Ubuntu 20.04.6 LTS,1056852.0
0,2,AMD EPYC 9374F 32-Core Processor,32,2.3 TB,NVMe SSD,8,NVIDIA H100-PCIe-80GB,HBM2e,80 GB,PCIe 5.0,"NVIDIA Release 24.04 MxNet, pytorch, dgl and 23.09 pytorch",Ubuntu 20.04.6 LTS,1531987.0
0,2,AMD EPYC 9374F 32-Core Processor,32,2.3 TB,NVMe SSD,8,NVIDIA H100-PCIe-80GB,HBM2e,80 GB,PCIe 5.0,"NVIDIA Release 24.04 MxNet, pytorch, dgl and 23.09 pytorch",Ubuntu 20.04.6 LTS,807076.0
