,accelerator_frequency,accelerator_host_interconnect,accelerator_interconnect,accelerator_interconnect_topology,accelerator_memory_capacity,accelerator_memory_configuration,accelerator_model_name,accelerator_on-chip_memories,accelerators_per_node,cooling,division,framework,host_memory_capacity,host_memory_configuration,host_network_card_count,host_networking,host_networking_topology,host_processor_caches,host_processor_core_count,host_processor_frequency,host_processor_interconnect,host_processor_model_name,host_processors_per_node,host_storage_capacity,host_storage_type,hw_notes,number_of_nodes,operating_system,other_software_stack,status,submitter,sw_notes,system_name,system_type,system_type_detail,row_key
0,1980000 MHz,N/A,N/A,,79.3267822265625 GB,N/A,NVIDIA H100 80GB HBM3,,1,air,open,onnxruntime v1.20.0,251.0,undefined,1,Gig Ethernet,N/A,"L1d cache: 768 KiB (16 instances), L1i cache: 512 KiB (16 instances), L2 cache: 32 MiB (16 instances), L3 cache: 1.3 GiB (16 instances)",16,undefined,,Intel(R) Xeon(R) Platinum 8458P,1,418G,SSD,,1,Ubuntu 22.04 (linux-6.2.0-37-generic-glibc2.35),"Python: 3.11.10, LLVM-15.0.6",available,cTuning,Automated by MLCommons CM v3.4.1. ,pstnxy0z8y4x,edge,edge server,5023e7b2-a0fb-11ef-8275-496022d0d34b_run_1
1,1980000 MHz,N/A,N/A,,79.3267822265625 GB,N/A,NVIDIA H100 80GB HBM3,,1,air,open,onnxruntime v1.20.0,251.0,undefined,1,Gig Ethernet,N/A,"L1d cache: 768 KiB (16 instances), L1i cache: 512 KiB (16 instances), L2 cache: 32 MiB (16 instances), L3 cache: 1.3 GiB (16 instances)",16,undefined,,Intel(R) Xeon(R) Platinum 8458P,1,418G,SSD,,1,Ubuntu 22.04 (linux-6.2.0-37-generic-glibc2.35),"Python: 3.11.10, LLVM-15.0.6",available,cTuning,Automated by MLCommons CM v3.4.1. ,pstnxy0z8y4x,edge,edge server,5023e7b2-a0fb-11ef-8275-496022d0d34b_run_10
2,1980000 MHz,N/A,N/A,,79.3267822265625 GB,N/A,NVIDIA H100 80GB HBM3,,1,air,open,onnxruntime v1.20.0,251.0,undefined,1,Gig Ethernet,N/A,"L1d cache: 768 KiB (16 instances), L1i cache: 512 KiB (16 instances), L2 cache: 32 MiB (16 instances), L3 cache: 1.3 GiB (16 instances)",16,undefined,,Intel(R) Xeon(R) Platinum 8458P,1,418G,SSD,,1,Ubuntu 22.04 (linux-6.2.0-37-generic-glibc2.35),"Python: 3.11.10, LLVM-15.0.6",available,cTuning,Automated by MLCommons CM v3.4.1. ,pstnxy0z8y4x,edge,edge server,5023e7b2-a0fb-11ef-8275-496022d0d34b_run_2
3,1980000 MHz,N/A,N/A,,79.3267822265625 GB,N/A,NVIDIA H100 80GB HBM3,,1,air,open,onnxruntime v1.20.0,251.0,undefined,1,Gig Ethernet,N/A,"L1d cache: 768 KiB (16 instances), L1i cache: 512 KiB (16 instances), L2 cache: 32 MiB (16 instances), L3 cache: 1.3 GiB (16 instances)",16,undefined,,Intel(R) Xeon(R) Platinum 8458P,1,418G,SSD,,1,Ubuntu 22.04 (linux-6.2.0-37-generic-glibc2.35),"Python: 3.11.10, LLVM-15.0.6",available,cTuning,Automated by MLCommons CM v3.4.1. ,pstnxy0z8y4x,edge,edge server,5023e7b2-a0fb-11ef-8275-496022d0d34b_run_3
4,1980000 MHz,N/A,N/A,,79.3267822265625 GB,N/A,NVIDIA H100 80GB HBM3,,1,air,open,onnxruntime v1.20.0,251.0,undefined,1,Gig Ethernet,N/A,"L1d cache: 768 KiB (16 instances), L1i cache: 512 KiB (16 instances), L2 cache: 32 MiB (16 instances), L3 cache: 1.3 GiB (16 instances)",16,undefined,,Intel(R) Xeon(R) Platinum 8458P,1,418G,SSD,,1,Ubuntu 22.04 (linux-6.2.0-37-generic-glibc2.35),"Python: 3.11.10, LLVM-15.0.6",available,cTuning,Automated by MLCommons CM v3.4.1. ,pstnxy0z8y4x,edge,edge server,5023e7b2-a0fb-11ef-8275-496022d0d34b_run_4
5,1980000 MHz,N/A,N/A,,79.3267822265625 GB,N/A,NVIDIA H100 80GB HBM3,,1,air,open,onnxruntime v1.20.0,251.0,undefined,1,Gig Ethernet,N/A,"L1d cache: 768 KiB (16 instances), L1i cache: 512 KiB (16 instances), L2 cache: 32 MiB (16 instances), L3 cache: 1.3 GiB (16 instances)",16,undefined,,Intel(R) Xeon(R) Platinum 8458P,1,418G,SSD,,1,Ubuntu 22.04 (linux-6.2.0-37-generic-glibc2.35),"Python: 3.11.10, LLVM-15.0.6",available,cTuning,Automated by MLCommons CM v3.4.1. ,pstnxy0z8y4x,edge,edge server,5023e7b2-a0fb-11ef-8275-496022d0d34b_run_5
6,1980000 MHz,N/A,N/A,,79.3267822265625 GB,N/A,NVIDIA H100 80GB HBM3,,1,air,open,onnxruntime v1.20.0,251.0,undefined,1,Gig Ethernet,N/A,"L1d cache: 768 KiB (16 instances), L1i cache: 512 KiB (16 instances), L2 cache: 32 MiB (16 instances), L3 cache: 1.3 GiB (16 instances)",16,undefined,,Intel(R) Xeon(R) Platinum 8458P,1,418G,SSD,,1,Ubuntu 22.04 (linux-6.2.0-37-generic-glibc2.35),"Python: 3.11.10, LLVM-15.0.6",available,cTuning,Automated by MLCommons CM v3.4.1. ,pstnxy0z8y4x,edge,edge server,5023e7b2-a0fb-11ef-8275-496022d0d34b_run_6
7,1980000 MHz,N/A,N/A,,79.3267822265625 GB,N/A,NVIDIA H100 80GB HBM3,,1,air,open,onnxruntime v1.20.0,251.0,undefined,1,Gig Ethernet,N/A,"L1d cache: 768 KiB (16 instances), L1i cache: 512 KiB (16 instances), L2 cache: 32 MiB (16 instances), L3 cache: 1.3 GiB (16 instances)",16,undefined,,Intel(R) Xeon(R) Platinum 8458P,1,418G,SSD,,1,Ubuntu 22.04 (linux-6.2.0-37-generic-glibc2.35),"Python: 3.11.10, LLVM-15.0.6",available,cTuning,Automated by MLCommons CM v3.4.1. ,pstnxy0z8y4x,edge,edge server,5023e7b2-a0fb-11ef-8275-496022d0d34b_run_7
8,1980000 MHz,N/A,N/A,,79.3267822265625 GB,N/A,NVIDIA H100 80GB HBM3,,1,air,open,onnxruntime v1.20.0,251.0,undefined,1,Gig Ethernet,N/A,"L1d cache: 768 KiB (16 instances), L1i cache: 512 KiB (16 instances), L2 cache: 32 MiB (16 instances), L3 cache: 1.3 GiB (16 instances)",16,undefined,,Intel(R) Xeon(R) Platinum 8458P,1,418G,SSD,,1,Ubuntu 22.04 (linux-6.2.0-37-generic-glibc2.35),"Python: 3.11.10, LLVM-15.0.6",available,cTuning,Automated by MLCommons CM v3.4.1. ,pstnxy0z8y4x,edge,edge server,5023e7b2-a0fb-11ef-8275-496022d0d34b_run_8
9,1980000 MHz,N/A,N/A,,79.3267822265625 GB,N/A,NVIDIA H100 80GB HBM3,,1,air,open,onnxruntime v1.20.0,251.0,undefined,1,Gig Ethernet,N/A,"L1d cache: 768 KiB (16 instances), L1i cache: 512 KiB (16 instances), L2 cache: 32 MiB (16 instances), L3 cache: 1.3 GiB (16 instances)",16,undefined,,Intel(R) Xeon(R) Platinum 8458P,1,418G,SSD,,1,Ubuntu 22.04 (linux-6.2.0-37-generic-glibc2.35),"Python: 3.11.10, LLVM-15.0.6",available,cTuning,Automated by MLCommons CM v3.4.1. ,pstnxy0z8y4x,edge,edge server,5023e7b2-a0fb-11ef-8275-496022d0d34b_run_9
