,Feature,Importance
16,bus_clock,0.09738420817550178
21,cuda_compute_capability,0.07730049374068312
10,cuda_cores,0.06748179959605187
12,max_boost_clock,0.06148132459371312
11,base_clock,0.05518625547615799
19,single_precision,0.05301994330988768
6,sm_count,0.045048083766328385
2,host_memory_capacity,0.04453319291401315
14,bus_width,0.04449974990738597
5,operating_system,0.043462139321525865
0,accelerator_memory_capacity,0.04252414921656615
23,form_factor,0.04144043158517126
1,accelerator_model_name,0.041270019747547335
8,core,0.039339106384102304
7,micro_architecture,0.03755595861371912
13,bus_type,0.03464488854818319
20,double_precision,0.03094107980290983
17,bus_bandwidth,0.026648359997353915
3,host_processor_core_count,0.025881865942600325
22,tdp,0.025356829098201493
18,half_precision,0.024942175535469867
15,bus_size,0.0219259801169126
4,host_processor_model_name,0.01813196461001363
9,core_clock,0.0
