,accelerator_memory_capacity,accelerator_model_name,host_memory_capacity,host_processor_core_count,host_processor_model_name,operating_system,sm_count,micro_architecture,core,core_clock,cuda_cores,base_clock,max_boost_clock,bus_type,bus_width,bus_size,bus_clock,bus_bandwidth,half_precision,single_precision,double_precision,cuda_compute_capability,tdp,form_factor,samples_ps
0,79.3267822265625 GB,NVIDIA H100 80GB HBM3,251.0,16,Intel(R) Xeon(R) Platinum 8458P,Ubuntu 22.04 (linux-6.2.0-37-generic-glibc2.35),132,Hopper,1× GH100[49],,16896,1065.0,,HBM3,5120.0,80.0,1500.0,3352.0,989.43,66.9,33.5,9.0,700,SXMcard,115
1,79.3267822265625 GB,NVIDIA H100 80GB HBM3,251.0,16,Intel(R) Xeon(R) Platinum 8458P,Ubuntu 22.04 (linux-6.2.0-37-generic-glibc2.35),132,Hopper,1× GH100[49],,16896,1065.0,,HBM3,5120.0,80.0,1500.0,3352.0,989.43,66.9,33.5,9.0,700,SXMcard,115
2,79.3267822265625 GB,NVIDIA H100 80GB HBM3,251.0,16,Intel(R) Xeon(R) Platinum 8458P,Ubuntu 22.04 (linux-6.2.0-37-generic-glibc2.35),132,Hopper,1× GH100[49],,16896,1065.0,,HBM3,5120.0,80.0,1500.0,3352.0,989.43,66.9,33.5,9.0,700,SXMcard,114
3,79.3267822265625 GB,NVIDIA H100 80GB HBM3,251.0,16,Intel(R) Xeon(R) Platinum 8458P,Ubuntu 22.04 (linux-6.2.0-37-generic-glibc2.35),132,Hopper,1× GH100[49],,16896,1065.0,,HBM3,5120.0,80.0,1500.0,3352.0,989.43,66.9,33.5,9.0,700,SXMcard,117
4,79.3267822265625 GB,NVIDIA H100 80GB HBM3,251.0,16,Intel(R) Xeon(R) Platinum 8458P,Ubuntu 22.04 (linux-6.2.0-37-generic-glibc2.35),132,Hopper,1× GH100[49],,16896,1065.0,,HBM3,5120.0,80.0,1500.0,3352.0,989.43,66.9,33.5,9.0,700,SXMcard,115
5,79.3267822265625 GB,NVIDIA H100 80GB HBM3,251.0,16,Intel(R) Xeon(R) Platinum 8458P,Ubuntu 22.04 (linux-6.2.0-37-generic-glibc2.35),132,Hopper,1× GH100[49],,16896,1065.0,,HBM3,5120.0,80.0,1500.0,3352.0,989.43,66.9,33.5,9.0,700,SXMcard,123
6,79.3267822265625 GB,NVIDIA H100 80GB HBM3,251.0,16,Intel(R) Xeon(R) Platinum 8458P,Ubuntu 22.04 (linux-6.2.0-37-generic-glibc2.35),132,Hopper,1× GH100[49],,16896,1065.0,,HBM3,5120.0,80.0,1500.0,3352.0,989.43,66.9,33.5,9.0,700,SXMcard,115
7,79.3267822265625 GB,NVIDIA H100 80GB HBM3,251.0,16,Intel(R) Xeon(R) Platinum 8458P,Ubuntu 22.04 (linux-6.2.0-37-generic-glibc2.35),132,Hopper,1× GH100[49],,16896,1065.0,,HBM3,5120.0,80.0,1500.0,3352.0,989.43,66.9,33.5,9.0,700,SXMcard,115
8,79.3267822265625 GB,NVIDIA H100 80GB HBM3,251.0,16,Intel(R) Xeon(R) Platinum 8458P,Ubuntu 22.04 (linux-6.2.0-37-generic-glibc2.35),132,Hopper,1× GH100[49],,16896,1065.0,,HBM3,5120.0,80.0,1500.0,3352.0,989.43,66.9,33.5,9.0,700,SXMcard,115
9,79.3267822265625 GB,NVIDIA H100 80GB HBM3,251.0,16,Intel(R) Xeon(R) Platinum 8458P,Ubuntu 22.04 (linux-6.2.0-37-generic-glibc2.35),132,Hopper,1× GH100[49],,16896,1065.0,,HBM3,5120.0,80.0,1500.0,3352.0,989.43,66.9,33.5,9.0,700,SXMcard,112
10,7.4212646484375 GB,Tesla P4,7.4,1,Intel(R) Xeon(R) CPU @ 2.20GHz,Ubuntu 22.04 (linux-6.8.0-1017-gcp-glibc2.35),20,Pascal,1× GP104,,2560,810.0,1063.0,GDDR5,256.0,8.0,6000.0,192.0,,,,6.1,50,PCIecard,10
11,7.4212646484375 GB,Tesla P4,7.4,1,Intel(R) Xeon(R) CPU @ 2.20GHz,Ubuntu 22.04 (linux-6.8.0-1017-gcp-glibc2.35),20,Pascal,1× GP104,,2560,810.0,1063.0,GDDR5,256.0,8.0,6000.0,192.0,,,,6.1,50,PCIecard,10
12,7.4212646484375 GB,Tesla P4,7.4,1,Intel(R) Xeon(R) CPU @ 2.20GHz,Ubuntu 22.04 (linux-6.8.0-1017-gcp-glibc2.35),20,Pascal,1× GP104,,2560,810.0,1063.0,GDDR5,256.0,8.0,6000.0,192.0,,,,6.1,50,PCIecard,10
13,7.4212646484375 GB,Tesla P4,7.4,1,Intel(R) Xeon(R) CPU @ 2.20GHz,Ubuntu 22.04 (linux-6.8.0-1017-gcp-glibc2.35),20,Pascal,1× GP104,,2560,810.0,1063.0,GDDR5,256.0,8.0,6000.0,192.0,,,,6.1,50,PCIecard,10
14,7.4212646484375 GB,Tesla P4,7.4,1,Intel(R) Xeon(R) CPU @ 2.20GHz,Ubuntu 22.04 (linux-6.8.0-1017-gcp-glibc2.35),20,Pascal,1× GP104,,2560,810.0,1063.0,GDDR5,256.0,8.0,6000.0,192.0,,,,6.1,50,PCIecard,10
15,7.4212646484375 GB,Tesla P4,7.4,1,Intel(R) Xeon(R) CPU @ 2.20GHz,Ubuntu 22.04 (linux-6.8.0-1017-gcp-glibc2.35),20,Pascal,1× GP104,,2560,810.0,1063.0,GDDR5,256.0,8.0,6000.0,192.0,,,,6.1,50,PCIecard,10
16,7.4212646484375 GB,Tesla P4,7.4,1,Intel(R) Xeon(R) CPU @ 2.20GHz,Ubuntu 22.04 (linux-6.8.0-1017-gcp-glibc2.35),20,Pascal,1× GP104,,2560,810.0,1063.0,GDDR5,256.0,8.0,6000.0,192.0,,,,6.1,50,PCIecard,10
17,7.4212646484375 GB,Tesla P4,7.4,1,Intel(R) Xeon(R) CPU @ 2.20GHz,Ubuntu 22.04 (linux-6.8.0-1017-gcp-glibc2.35),20,Pascal,1× GP104,,2560,810.0,1063.0,GDDR5,256.0,8.0,6000.0,192.0,,,,6.1,50,PCIecard,10
18,7.4212646484375 GB,Tesla P4,7.4,1,Intel(R) Xeon(R) CPU @ 2.20GHz,Ubuntu 22.04 (linux-6.8.0-1017-gcp-glibc2.35),20,Pascal,1× GP104,,2560,810.0,1063.0,GDDR5,256.0,8.0,6000.0,192.0,,,,6.1,50,PCIecard,10
19,7.9307861328125 GB,Quadro M4000,30.0,8,Intel(R) Xeon(R) CPU E5-2623 v4 @ 2.60GHz,Ubuntu 20.04 (linux-5.4.0-198-generic-glibc2.31),13,Maxwell,GM204-850,773.0,1664,,,256-bit GDDR5,,8.192,,206.47251,,,,5.2,120,,6
