,Feature,Importance
25,accelerator_memory_configuration_HBM3,0.022309009903026103
44,host_memory_capacity_2 TB,0.02022166991013552
86,"host_storage_type_NVMe SSD, CIFS mounted disk storage",0.019296935412387358
37,"framework_TensorRT 10.2.0, CUDA 12.4",0.018360138466905665
58,host_processor_core_count_96,0.01803361718926417
1,accelerator_host_interconnect_NVLink-C2C,0.017950117918322378
77,host_processor_model_name_Intel(R) Xeon(R) Platinum 8480C,0.01791942236993441
26,accelerator_memory_configuration_HBM3e,0.017707963137900115
51,host_processor_core_count_48,0.017485425915977296
106,"other_software_stack_TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 555.42.06",0.016725873347928785
5,accelerator_host_interconnect_PCIe Gen5 x16,0.016177969508270634
74,host_processor_model_name_Intel(R) Xeon(R) Platinum 8468,0.015927538843428422
96,operating_system_Ubuntu 22.04.4,0.01585114134557453
80,host_processor_model_name_NVIDIA Grace CPU,0.01562945476173145
97,operating_system_Ubuntu 22.04.4 LTS,0.01535289547982384
9,"accelerator_interconnect_4x 4th Gen NVLink, 900GB/s",0.0148821349014941
46,host_memory_capacity_2048GB,0.013991507742474107
8,accelerator_interconnect_1x 400Gbe Infiniband,0.0134930072312116
102,"other_software_stack_TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 550.54",0.013369119130886755
27,accelerator_model_name_NVIDIA H100-NVL-94GB,0.013295059722731668
34,accelerators_per_node_4,0.013057049335254488
20,accelerator_memory_capacity_80 GB,0.01296283379830749
65,host_processor_model_name_AMD EPYC 9684X 96-Core Processor,0.01264624991031981
7,"accelerator_interconnect_18x 4th Gen NVLink, 900GB/s",0.012544965053499241
19,accelerator_memory_capacity_48 GB,0.012049451168492528
29,accelerator_model_name_NVIDIA H100-SXM-80GB,0.012039459868153312
42,host_memory_capacity_1.5 TB,0.012018159217274338
30,accelerator_model_name_NVIDIA H200-SXM-141GB,0.011933787446433593
12,"accelerator_interconnect_8x 4th Gen NVLink, 900GB/s",0.011893449154294316
95,operating_system_Ubuntu 22.04.3,0.01143958715817458
101,"other_software_stack_TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 535.183.01",0.011420613467938125
28,accelerator_model_name_NVIDIA H100-PCIe-80GB,0.01135621940265933
87,"host_storage_type_NVMe SSD, NFS mounted disk storage",0.01120874131920835
23,accelerator_memory_capacity_96 GB,0.011080259552094691
76,host_processor_model_name_Intel(R) Xeon(R) Platinum 8480+,0.010976418520044062
35,accelerators_per_node_8,0.010773495984706324
61,host_processor_model_name_AMD EPYC 9474F,0.010642535250922364
53,host_processor_core_count_56,0.010625183036391034
93,operating_system_Ubuntu 20.04.6,0.010564987723981546
66,host_processor_model_name_INTEL(R) XEON(R) GOLD 6530,0.010561844420067572
105,"other_software_stack_TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 550.90.07",0.010499292869844565
