,accelerator_host_interconnect,accelerator_interconnect,accelerator_memory_capacity,accelerator_memory_configuration,accelerator_model_name,accelerators_per_node,framework,host_memory_capacity,host_processor_core_count,host_processor_model_name,host_processors_per_node,host_storage_type,operating_system,other_software_stack,latency_ns,samples_ps
3,PCIe Gen5 x16,,94 GB,HBM3,NVIDIA H100-NVL-94GB,4,"TensorRT 10.2.0, CUDA 12.4",768 GB,96,AMD EPYC 9654 96-Core Processor,1,NVMe SSD,Ubuntu 20.04.6,"TensorRT 10.2.0, CUDA 12.4, cuDNN 9.1.0, Driver 550.54",0.00023656561,15642.0
3,PCIe Gen5 x16,,94 GB,HBM3,NVIDIA H100-NVL-94GB,4,"TensorRT 10.2.0, CUDA 12.4",768 GB,96,AMD EPYC 9654 96-Core Processor,1,NVMe SSD,Ubuntu 20.04.6,"TensorRT 10.2.0, CUDA 12.4, cuDNN 9.1.0, Driver 550.54",0.00028230965,16312.0
3,PCIe Gen5 x16,,94 GB,HBM3,NVIDIA H100-NVL-94GB,4,"TensorRT 10.2.0, CUDA 12.4",768 GB,96,AMD EPYC 9654 96-Core Processor,1,NVMe SSD,Ubuntu 20.04.6,"TensorRT 10.2.0, CUDA 12.4, cuDNN 9.1.0, Driver 550.54",0.00033612504,17001.0
4,PCIe Gen5 x16,,80 GB,HBM3e,NVIDIA H100-PCIe-80GB,8,"TensorRT 10.2.0, CUDA 12.4",2 TB,32,AMD EPYC 9374F 32-Core Processor,2,NVMe SSD,Ubuntu 20.04.6,"TensorRT 10.2.0, CUDA 12.4, cuDNN 9.1.0, Driver 550.54.15 , DALI 1.36.0",0.00022403421,32537.0
4,PCIe Gen5 x16,,80 GB,HBM3e,NVIDIA H100-PCIe-80GB,8,"TensorRT 10.2.0, CUDA 12.4",2 TB,32,AMD EPYC 9374F 32-Core Processor,2,NVMe SSD,Ubuntu 20.04.6,"TensorRT 10.2.0, CUDA 12.4, cuDNN 9.1.0, Driver 550.54.15 , DALI 1.36.0",0.00030798336,33930.0
4,PCIe Gen5 x16,,80 GB,HBM3e,NVIDIA H100-PCIe-80GB,8,"TensorRT 10.2.0, CUDA 12.4",2 TB,32,AMD EPYC 9374F 32-Core Processor,2,NVMe SSD,Ubuntu 20.04.6,"TensorRT 10.2.0, CUDA 12.4, cuDNN 9.1.0, Driver 550.54.15 , DALI 1.36.0",0.00044825703,35365.0
5,PCIe Gen5 x16,"18x 4th Gen NVLink, 900GB/s",80 GB,HBM3,NVIDIA H100-SXM-80GB,8,"TensorRT 10.2.0, CUDA 12.4",1.5 TB,64,INTEL(R) XEON(R) PLATINUM 8592+,2,NVMe SSD,Ubuntu 22.04.3,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 550.90.07",0.00028657549,52454.0
5,PCIe Gen5 x16,"18x 4th Gen NVLink, 900GB/s",80 GB,HBM3,NVIDIA H100-SXM-80GB,8,"TensorRT 10.2.0, CUDA 12.4",1.5 TB,64,INTEL(R) XEON(R) PLATINUM 8592+,2,NVMe SSD,Ubuntu 22.04.3,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 550.90.07",0.00045188916,54707.0
5,PCIe Gen5 x16,"18x 4th Gen NVLink, 900GB/s",80 GB,HBM3,NVIDIA H100-SXM-80GB,8,"TensorRT 10.2.0, CUDA 12.4",1.5 TB,64,INTEL(R) XEON(R) PLATINUM 8592+,2,NVMe SSD,Ubuntu 22.04.3,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 550.90.07",0.00099627841,57005.0
7,PCIe Gen4 x16,,48 GB,GDDR6,NVIDIA L40S,2,"TensorRT 10.2.0, CUDA 12.4",1 TB,32,Intel Xeon Gold 6448H,2,NVMe SSD,Ubuntu 22.04.3,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 550.54.15, DALI 1.28.0",0.00016752982,6221.0
7,PCIe Gen4 x16,,48 GB,GDDR6,NVIDIA L40S,2,"TensorRT 10.2.0, CUDA 12.4",1 TB,32,Intel Xeon Gold 6448H,2,NVMe SSD,Ubuntu 22.04.3,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 550.54.15, DALI 1.28.0",0.00022908095,6485.0
7,PCIe Gen4 x16,,48 GB,GDDR6,NVIDIA L40S,2,"TensorRT 10.2.0, CUDA 12.4",1 TB,32,Intel Xeon Gold 6448H,2,NVMe SSD,Ubuntu 22.04.3,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 550.54.15, DALI 1.28.0",0.00037686868,6761.0
8,PCIe Gen5 x16,,80 GB,GDDR6,NVIDIA H100-PCIe-80GB,2,"TensorRT 10.2.0, CUDA 12.4",1 TB,96,AMD EPYC 9684X 96-Core Processor,2,NVMe SSD,Ubuntu 22.04.3,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 550.54.15, DALI 1.28.0",0.0210274259,8338.0
